Natural Frequency (Hz),Magnitude (dB)
14.49538858219563,36.886517658436865
14.49920137698653,33.178830021281925
14.496167276183392,33.76399015843732
186.22524875210738,36.50816678756919
186.21408931449704,15.801005326449129
186.21872352734562,35.93962151161928
230.85187266536644,44.1472828495731
230.84945773862057,26.404531149949296
230.8642740552491,41.28382934418607
231.71134838517736,37.409437608172254
231.6954875976399,28.34631253758209
231.70726667906362,35.559225838481694
441.9027470166276,31.73014431360042
441.89014739882293,16.19527768657064
441.893427550156,27.810309625279103
