Time [microseconds],Accelerometer ID,X Acceleration,Y Acceleration,Z Acceleration
281000015,2,0.08740234375,1.033203125,-0.10302734375
281000664,2,0.07861328125,0.97314453125,0.0361328125
281001314,2,0.08642578125,0.99658203125,-0.02392578125
281001965,2,0.01025390625,0.974609375,0.15478515625
281002614,2,0.0087890625,0.9921875,0.0595703125
281003264,2,-0.0380859375,0.98046875,0.11865234375
281003915,2,0.00146484375,1.0166015625,-0.12548828125
281004565,2,-0.00146484375,1.01318359375,0.13330078125
281005215,2,0.06494140625,1.02734375,-0.0595703125
281005864,2,0.05615234375,0.9931640625,0.03662109375
281006514,2,0.04931640625,0.982421875,0.048828125
281007164,2,0.03564453125,0.97900390625,0.14208984375
281007815,2,0.00927734375,1.00048828125,0.072265625
281008465,2,0.0087890625,1.00537109375,0.01806640625
281009115,2,0.02001953125,1.021484375,-0.0927734375
281009765,2,0.01806640625,0.9951171875,0.13916015625
281010415,2,-0.021484375,1.00830078125,0.0302734375
281011065,2,0.01171875,0.986328125,0.04833984375
281011715,2,0.00634765625,0.974609375,0.087890625
281012364,2,0.064453125,1.0419921875,0.00537109375
281013015,2,0.0498046875,1.00732421875,0.078125
281013665,2,0.0576171875,1.0146484375,-0.033203125
281014315,2,-0.00341796875,0.9921875,0.037109375
281014964,2,0.0029296875,0.9951171875,0.10302734375
281015615,2,-0.0517578125,1.005859375,0.0234375
281016265,2,0.01318359375,1.0068359375,0.00634765625
281016914,2,0.033203125,1.00439453125,0.03564453125
281017565,2,0.080078125,1.03125,-0.0380859375
281018214,2,0.05126953125,1.0,0.1142578125
281018864,2,0.064453125,0.98974609375,-0.00537109375
281019514,2,-0.0205078125,0.96240234375,0.0869140625
281020164,2,0.00244140625,0.97900390625,0.1015625
281020814,2,-0.01904296875,1.01123046875,0.08203125
281021465,2,0.02734375,1.00634765625,-0.017578125
281022115,2,0.03466796875,1.0263671875,-0.00244140625
281022765,2,0.00439453125,1.00537109375,-0.03955078125
281023414,2,0.03564453125,0.994140625,0.13525390625
281024064,2,0.0126953125,0.9853515625,0.0390625
281024714,2,0.0322265625,0.96728515625,0.04345703125
281025365,2,0.04833984375,0.9912109375,0.13037109375
281026015,2,0.02587890625,1.02783203125,0.03955078125
281026665,2,0.0166015625,1.0009765625,-0.04052734375
281027315,2,-0.00048828125,1.00146484375,0.0029296875
281027965,2,-0.015625,0.99609375,0.01318359375
281028614,2,0.0126953125,0.9951171875,0.1552734375
281029265,2,0.0068359375,1.00537109375,0.00634765625
281029915,2,0.07861328125,1.0068359375,0.05224609375
281030564,2,0.05712890625,0.98583984375,0.0478515625
281031214,2,0.0380859375,1.00830078125,0.0224609375
281031864,2,0.03173828125,0.97265625,0.03955078125
281032514,2,-0.01708984375,0.97705078125,0.0634765625
281033165,2,-0.02294921875,1.0126953125,-0.01220703125
281033814,2,-0.0078125,1.015625,0.130859375
